"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-06-01 00:00","2022","06","01","00:00","","7.2","","2.5","","72","","","","31","","9","","","","101.40","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-06-01 01:00","2022","06","01","01:00","","7.2","","2.4","","72","","","","31","","12","","","","101.37","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-06-01 02:00","2022","06","01","02:00","","7.1","","2.7","","74","","","","30","","18","","","","101.34","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-06-01 03:00","2022","06","01","03:00","","7.0","","2.7","","74","","","","31","","18","","","","101.33","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-06-01 04:00","2022","06","01","04:00","","7.0","","3.0","","76","","","","31","","25","","","","101.30","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-06-01 05:00","2022","06","01","05:00","","6.8","","3.2","","78","","","","31","","16","","","","101.29","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-06-01 06:00","2022","06","01","06:00","","8.5","","3.6","","71","","","","30","","18","","","","101.26","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-06-01 07:00","2022","06","01","07:00","","10.2","","3.8","","64","","","","32","","24","","","","101.24","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-06-01 08:00","2022","06","01","08:00","","11.1","","2.3","","55","","","","33","","29","","","","101.23","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-06-01 09:00","2022","06","01","09:00","","11.0","","2.9","","57","","","","32","","30","","","","101.22","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-06-01 10:00","2022","06","01","10:00","","11.1","","3.6","","60","","","","31","","28","","","","101.17","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-06-01 11:00","2022","06","01","11:00","","11.6","","3.7","","58","","","","31","","22","","","","101.14","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-06-01 12:00","2022","06","01","12:00","","12.4","","3.3","","54","","","","31","","30","","","","101.06","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-06-01 13:00","2022","06","01","13:00","","13.7","","3.1","","49","","","","32","","28","","","","101.02","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-06-01 14:00","2022","06","01","14:00","","13.9","","3.4","","49","","","","30","","22","","","","100.95","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-06-01 15:00","2022","06","01","15:00","","14.3","","2.9","","46","","","","31","","25","","","","100.87","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-06-01 16:00","2022","06","01","16:00","","15.7","","3.4","","44","","","","31","","17","","","","100.82","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-06-01 17:00","2022","06","01","17:00","","16.0","","3.6","","44","","","","31","","23","","","","100.75","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-06-01 18:00","2022","06","01","18:00","","16.9","","4.0","","42","","","","32","","15","","","","100.73","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-06-01 19:00","2022","06","01","19:00","","15.0","","4.8","","50","","","","31","","15","","","","100.75","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-06-01 20:00","2022","06","01","20:00","","14.2","","5.5","","56","","","","33","","6","","","","100.79","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-06-01 21:00","2022","06","01","21:00","","14.0","","5.2","","55","","","","34","","12","","","","100.84","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-06-01 22:00","2022","06","01","22:00","","12.4","","4.6","","59","","","","33","","8","","","","100.85","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-06-01 23:00","2022","06","01","23:00","","11.7","","4.4","","61","","","","32","","9","","","","100.82","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-06-02 00:00","2022","06","02","00:00","","11.0","","5.0","","67","","","","31","","9","","","","100.81","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-06-02 01:00","2022","06","02","01:00","","10.2","","5.1","","71","","","","31","","5","","","","100.82","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-06-02 02:00","2022","06","02","02:00","","8.9","","4.5","","74","","","","","","0","","","","100.81","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-06-02 03:00","2022","06","02","03:00","","7.9","","3.5","","74","","","","","","0","","","","100.80","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-06-02 04:00","2022","06","02","04:00","","8.1","","3.9","","74","","","","33","","8","","","","100.81","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-06-02 05:00","2022","06","02","05:00","","7.6","","3.9","","77","","","","32","","4","","","","100.86","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-06-02 06:00","2022","06","02","06:00","","9.7","","4.9","","72","","","","30","","5","","","","100.88","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-06-02 07:00","2022","06","02","07:00","","12.1","","3.6","","56","","","","34","","14","","","","100.84","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-06-02 08:00","2022","06","02","08:00","","12.8","","4.1","","56","","","","32","","18","","","","100.83","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-06-02 09:00","2022","06","02","09:00","","14.2","","4.1","","51","","","","32","","15","","","","100.77","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-06-02 10:00","2022","06","02","10:00","","14.9","","3.9","","48","","","","30","","28","","","","100.72","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-06-02 11:00","2022","06","02","11:00","","15.5","","3.4","","44","","","","30","","30","","","","100.74","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-06-02 12:00","2022","06","02","12:00","","16.2","","3.8","","43","","","","30","","28","","","","100.70","","","","","","NA"
