"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-10-01 00:00","2022","10","01","00:00","","12.2","","10.6","","90","","","","27","","4","","","","102.13","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-10-01 01:00","2022","10","01","01:00","","12.1","","11.3","","95","","","","26","","5","","","","102.11","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-10-01 02:00","2022","10","01","02:00","","11.3","","10.7","","96","","","","","","0","","","","102.07","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-10-01 03:00","2022","10","01","03:00","","10.3","","9.3","","94","","","","","","0","","","","102.03","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-10-01 04:00","2022","10","01","04:00","","9.7","","8.0","","89","","","","","","0","","","","102.04","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-10-01 05:00","2022","10","01","05:00","","9.6","","8.4","","92","","","","","","0","","","","102.02","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-10-01 06:00","2022","10","01","06:00","","9.2","","8.2","","94","","","","","","0","","","","102.05","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-10-01 07:00","2022","10","01","07:00","","9.0","","7.5","","90","","","","","","0","","","","102.07","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-10-01 08:00","2022","10","01","08:00","","10.4","","7.0","","79","","","","","","0","","","","102.06","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-10-01 09:00","2022","10","01","09:00","","12.8","","7.9","","72","","","","","","0","","","","102.05","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-10-01 10:00","2022","10","01","10:00","","13.8","","8.0","","68","","","","","","0","","","","102.03","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-10-01 11:00","2022","10","01","11:00","","16.3","","7.2","","55","","","","23","","12","","","","101.98","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-10-01 12:00","2022","10","01","12:00","","17.3","","7.7","","53","","","","22","","14","","","","101.92","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-10-01 13:00","2022","10","01","13:00","","19.0","","8.3","","50","","","","24","","17","","","","101.86","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-10-01 14:00","2022","10","01","14:00","","18.1","","9.3","","56","","","","23","","15","","","","101.80","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-10-01 15:00","2022","10","01","15:00","","17.3","","11.0","","66","","","","21","","14","","","","101.76","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-10-01 16:00","2022","10","01","16:00","","16.5","","8.9","","61","","","","23","","9","","","","101.82","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-10-01 17:00","2022","10","01","17:00","","16.2","","9.4","","64","","","","29","","8","","","","101.86","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-10-01 18:00","2022","10","01","18:00","","15.5","","10.0","","70","","","","23","","4","","","","101.86","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-10-01 19:00","2022","10","01","19:00","","15.4","","11.2","","76","","","","23","","7","","","","101.87","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-10-01 20:00","2022","10","01","20:00","","14.8","","10.8","","77","","","","32","","5","","","","101.87","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-10-01 21:00","2022","10","01","21:00","","14.4","","9.4","","72","","","","34","","9","","","","101.88","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-10-01 22:00","2022","10","01","22:00","","13.8","","9.7","","76","","","","32","","7","","","","101.87","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-10-01 23:00","2022","10","01","23:00","","13.1","","9.1","","77","","","","33","","7","","","","101.86","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-10-02 00:00","2022","10","02","00:00","","12.4","","8.5","","77","","","","33","","7","","","","101.86","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-10-02 01:00","2022","10","02","01:00","","12.1","","9.3","","83","","","","33","","6","","","","101.86","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-10-02 02:00","2022","10","02","02:00","","12.0","","9.4","","85","","","","36","","11","","","","101.90","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-10-02 03:00","2022","10","02","03:00","","11.2","","8.6","","84","","","","36","","12","","","","101.93","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-10-02 04:00","2022","10","02","04:00","","10.5","","6.7","","77","","","","36","","8","","","","101.98","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-10-02 05:00","2022","10","02","05:00","","10.1","","6.3","","77","","","","1","","13","","","","102.03","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-10-02 06:00","2022","10","02","06:00","","9.8","","6.2","","78","","","","34","","7","","","","102.12","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-10-02 07:00","2022","10","02","07:00","","9.8","","5.7","","75","","","","34","","8","","","","102.18","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-10-02 08:00","2022","10","02","08:00","","10.4","","3.0","","60","","","","35","","12","","","","102.17","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-10-02 09:00","2022","10","02","09:00","","10.8","","2.6","","57","","","","35","","16","","","","102.18","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-10-02 10:00","2022","10","02","10:00","","11.4","","2.1","","53","","","","34","","19","","","","102.20","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-10-02 11:00","2022","10","02","11:00","","12.9","","1.9","","47","","","","36","","17","","","","102.19","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-10-02 12:00","2022","10","02","12:00","","12.5","","1.5","","47","","","","34","","19","","","","102.22","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-10-02 13:00","2022","10","02","13:00","","12.3","","1.9","","49","","","","36","","14","","","","102.24","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-10-02 14:00","2022","10","02","14:00","","11.9","","2.4","","52","","","","36","","17","","","","102.22","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-10-02 15:00","2022","10","02","15:00","","12.2","","-0.3","","42","","","","35","","20","","","","102.20","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-10-02 16:00","2022","10","02","16:00","","11.5","","-0.8","","42","","","","2","","18","","","","102.28","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-10-02 17:00","2022","10","02","17:00","","10.8","","-0.2","","47","","","","36","","13","","","","102.31","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-10-02 18:00","2022","10","02","18:00","","9.7","","0.9","","54","","","","34","","9","","","","102.38","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-10-02 19:00","2022","10","02","19:00","","8.8","","1.3","","59","","","","34","","9","","","","102.44","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-10-02 20:00","2022","10","02","20:00","","7.9","","2.1","","66","","","","33","","5","","","","102.52","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-10-02 21:00","2022","10","02","21:00","","7.1","","2.7","","74","","","","33","","5","","","","102.53","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-10-02 22:00","2022","10","02","22:00","","6.5","","2.8","","77","","","","32","","5","","","","102.59","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-10-02 23:00","2022","10","02","23:00","","5.5","","3.1","","84","","","","33","","3","","","","102.61","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-10-03 00:00","2022","10","03","00:00","","5.5","","3.2","","85","","","","","","0","","","","102.61","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-10-03 01:00","2022","10","03","01:00","","5.0","","2.5","","84","","","","","","0","","","","102.61","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-10-03 02:00","2022","10","03","02:00","","4.8","","3.2","","90","","","","33","","5","","","","102.59","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-10-03 03:00","2022","10","03","03:00","","4.5","","2.8","","89","","","","32","","6","","","","102.58","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-10-03 04:00","2022","10","03","04:00","","4.0","","2.5","","90","","","","33","","4","","","","102.59","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-10-03 05:00","2022","10","03","05:00","","3.9","","2.3","","90","","","","","","0","","","","102.59","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-10-03 06:00","2022","10","03","06:00","","3.6","","2.2","","91","","","","36","","5","","","","102.63","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-10-03 07:00","2022","10","03","07:00","","6.2","","3.1","","80","","","","32","","7","","","","102.65","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-10-03 08:00","2022","10","03","08:00","","8.9","","3.0","","67","","","","35","","8","","","","102.71","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-10-03 09:00","2022","10","03","09:00","","10.3","","3.1","","61","","","","35","","10","","","","102.72","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-10-03 10:00","2022","10","03","10:00","","11.2","","0.6","","48","","","","3","","12","","","","102.69","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-10-03 11:00","2022","10","03","11:00","","12.5","","1.1","","46","","","","33","","16","","","","102.67","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-10-03 12:00","2022","10","03","12:00","","13.6","","0.4","","40","","","","36","","9","","","","102.62","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-10-03 13:00","2022","10","03","13:00","","14.4","","0.4","","38","","","","36","","10","","","","102.57","","","","","","NA"
