"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-12-01 00:00","2022","12","01","00:00","","10.0","","8.1","","88","","","","13","","42","","","","101.32","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-12-01 01:00","2022","12","01","01:00","","10.5","","8.7","","88","","","","13","","45","","","","101.06","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-12-01 02:00","2022","12","01","02:00","","11.1","","9.4","","89","","","","13","","52","","","","100.77","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-12-01 03:00","2022","12","01","03:00","","11.2","","9.6","","90","","","","13","","54","","","","100.56","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-12-01 04:00","2022","12","01","04:00","","11.7","","10.0","","89","","","","13","","59","","","","100.27","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-12-01 05:00","2022","12","01","05:00","","11.9","","10.8","","93","","","","14","","58","","","","100.12","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-12-01 06:00","2022","12","01","06:00","","12.0","","11.7","","98","","","","15","","58","","","","99.98","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-12-01 07:00","2022","12","01","07:00","","12.1","","12.0","","100","","","","19","","51","","","","100.03","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-12-01 08:00","2022","12","01","08:00","","11.0","","10.6","","98","","","","21","","27","","","","99.97","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-12-01 09:00","2022","12","01","09:00","","8.7","","7.3","","91","","","","30","","31","","","","100.08","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-12-01 10:00","2022","12","01","10:00","","6.5","","3.7","","82","","","","30","","29","","","","100.24","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-12-01 11:00","2022","12","01","11:00","","6.7","","2.7","","76","","","","28","","34","","","","100.32","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-12-01 12:00","2022","12","01","12:00","","6.8","","0.2","","63","","","","28","","35","","","","100.39","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-12-01 13:00","2022","12","01","13:00","","6.0","","0.6","","68","","","","29","","38","","","","100.47","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-12-01 14:00","2022","12","01","14:00","","6.3","","0.0","","64","","","","27","","27","","","","100.56","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-12-01 15:00","2022","12","01","15:00","","5.2","","-2.6","","57","","","","27","","34","","","","100.67","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-12-01 16:00","2022","12","01","16:00","","3.0","","-0.3","","79","","","","29","","34","","","","100.88","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-12-01 17:00","2022","12","01","17:00","","2.9","","-2.4","","68","","","","26","","34","","","","101.03","","","","","","NA"
