"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-06-01 00:00","2024","06","01","00:00","","9.9","","7.1","","83","","0.0","","34","","3","","","","100.83","","","","","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-06-01 01:00","2024","06","01","01:00","","9.0","","6.5","","85","","0.0","","31","","4","","","","100.83","","","","","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-06-01 02:00","2024","06","01","02:00","","8.4","","5.6","","83","","0.0","","32","","5","","","","100.81","","","","","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-06-01 03:00","2024","06","01","03:00","","8.0","","5.3","","83","","0.0","","35","","7","","","","100.82","","","","","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-06-01 04:00","2024","06","01","04:00","","7.6","","5.6","","88","","0.0","","34","","6","","","","100.83","","","","","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-06-01 05:00","2024","06","01","05:00","","7.3","","6.1","","92","","0.0","","35","","8","","","","100.83","","","","","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-06-01 06:00","2024","06","01","06:00","","8.1","","5.5","","83","","0.0","","1","","4","","","","100.90","","","","","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-06-01 07:00","2024","06","01","07:00","","9.2","","5.3","","77","","0.0","","36","","6","","","","100.94","","","","","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-06-01 08:00","2024","06","01","08:00","","10.6","","4.1","","64","","0.0","","1","","4","","","","101.00","","","","","","NA"
"-63.61","44.66","HALIFAX WINDSOR PARK","8202255","2024-06-01 09:00","2024","06","01","09:00","","10.6","","3.9","","63","","0.0","","2","","6","","","","100.98","","","","","","NA"
