"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-11-01 00:00","2022","11","01","00:00","","11.0","","9.4","","90","","","","23","","3","","","","101.72","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-11-01 01:00","2022","11","01","01:00","","11.3","","8.5","","83","","","","26","","5","","","","101.69","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-11-01 02:00","2022","11","01","02:00","","11.6","","8.4","","81","","","","26","","5","","","","101.69","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-11-01 03:00","2022","11","01","03:00","","11.6","","8.5","","81","","","","26","","3","","","","101.69","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-11-01 04:00","2022","11","01","04:00","","11.8","","9.0","","83","","","","","","0","","","","101.69","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-11-01 05:00","2022","11","01","05:00","","12.0","","10.3","","90","","","","11","","4","","","","101.69","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-11-01 06:00","2022","11","01","06:00","","11.9","","11.1","","95","","","","","","0","","","","101.66","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-11-01 07:00","2022","11","01","07:00","","12.8","","11.4","","91","","","","15","","10","","","","101.65","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-11-01 08:00","2022","11","01","08:00","","13.3","","12.3","","93","","","","14","","9","","","","101.66","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-11-01 09:00","2022","11","01","09:00","","13.9","","12.6","","92","","","","14","","10","","","","101.65","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-11-01 10:00","2022","11","01","10:00","","14.1","","14.0","","99","","","","15","","9","","","","101.59","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-11-01 11:00","2022","11","01","11:00","","14.4","","14.4","","100","","","","15","","8","","","","101.56","","","","","","NA"
