"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-07-01 00:00","2022","07","01","00:00","","17.2","","15.4","","89","","","","","","0","","","","101.59","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-07-01 01:00","2022","07","01","01:00","","16.7","","15.0","","90","","","","","","0","","","","101.62","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-07-01 02:00","2022","07","01","02:00","","16.4","","16.4","","100","","","","","","0","","","","101.62","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-07-01 03:00","2022","07","01","03:00","","15.9","","15.9","","100","","","","33","","3","","","","101.62","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-07-01 04:00","2022","07","01","04:00","","15.2","","15.1","","100","","","","","","0","","","","101.65","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-07-01 05:00","2022","07","01","05:00","","15.1","","15.1","","100","","","","33","","3","","","","101.69","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-07-01 06:00","2022","07","01","06:00","","16.5","","14.6","","88","","","","27","","3","","","","101.73","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-07-01 07:00","2022","07","01","07:00","","18.1","","14.5","","79","","","","","","0","","","","101.72","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-07-01 08:00","2022","07","01","08:00","","20.4","","15.2","","72","","","","","","0","","","","101.72","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-07-01 09:00","2022","07","01","09:00","","22.8","","15.4","","63","","","","27","","6","","","","101.70","","27","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-07-01 10:00","2022","07","01","10:00","","24.5","","13.6","","51","","","","29","","6","","","","101.69","","28","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-07-01 11:00","2022","07","01","11:00","","24.8","","13.6","","50","","","","27","","9","","","","101.63","","28","","","","NA"
