"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-01 00:00","2022","08","01","00:00","","20.4","","15.5","","74","","","","32","","6","","","","101.66","","25","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-01 01:00","2022","08","01","01:00","","19.2","","15.7","","80","","","","","","0","","","","101.67","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-01 02:00","2022","08","01","02:00","","18.7","","15.4","","81","","","","","","0","","","","101.68","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-01 03:00","2022","08","01","03:00","","18.5","","15.4","","82","","","","","","0","","","","101.67","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-01 04:00","2022","08","01","04:00","","17.6","","16.2","","92","","","","","","0","","","","101.61","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-01 05:00","2022","08","01","05:00","","17.3","","17.2","","100","","","","28","","3","","","","101.65","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-01 06:00","2022","08","01","06:00","","18.0","","15.1","","83","","","","23","","7","","","","101.68","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-01 07:00","2022","08","01","07:00","","18.2","","15.1","","82","","","","22","","3","","","","101.69","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-01 08:00","2022","08","01","08:00","","19.6","","15.5","","77","","","","29","","4","","","","101.68","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-01 09:00","2022","08","01","09:00","","19.6","","16.3","","81","","","","23","","8","","","","101.65","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-01 10:00","2022","08","01","10:00","","21.2","","16.3","","74","","","","18","","6","","","","101.60","","26","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-01 11:00","2022","08","01","11:00","","22.6","","14.2","","59","","","","22","","22","","","","101.58","","26","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-01 12:00","2022","08","01","12:00","","21.2","","16.7","","75","","","","21","","18","","","","101.58","","26","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-01 13:00","2022","08","01","13:00","","21.2","","16.6","","75","","","","21","","17","","","","101.57","","26","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-01 14:00","2022","08","01","14:00","","21.1","","16.4","","75","","","","21","","17","","","","101.50","","26","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-01 15:00","2022","08","01","15:00","","20.8","","16.6","","77","","","","15","","4","","","","101.44","","26","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-01 16:00","2022","08","01","16:00","","21.3","","17.7","","80","","","","19","","17","","","","101.46","","27","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-01 17:00","2022","08","01","17:00","","20.0","","18.0","","89","","","","16","","9","","","","101.45","","26","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-01 18:00","2022","08","01","18:00","","19.8","","19.6","","99","","","","21","","14","","","","101.39","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-01 19:00","2022","08","01","19:00","","19.4","","19.1","","98","","","","14","","5","","","","101.36","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-01 20:00","2022","08","01","20:00","","19.3","","18.6","","96","","","","16","","7","","","","101.35","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-01 21:00","2022","08","01","21:00","","18.7","","18.7","","100","","","","20","","12","","","","101.37","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-01 22:00","2022","08","01","22:00","","18.0","","18.0","","100","","","","20","","9","","","","101.37","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-01 23:00","2022","08","01","23:00","","17.9","","17.9","","100","","","","","","0","","","","101.37","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-02 00:00","2022","08","02","00:00","","17.8","","17.8","","100","","","","15","","3","","","","101.33","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-02 01:00","2022","08","02","01:00","","18.2","","18.2","","100","","","","","","0","","","","101.27","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-02 02:00","2022","08","02","02:00","","18.0","","18.0","","100","","","","34","","4","","","","101.24","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-02 03:00","2022","08","02","03:00","","17.8","","17.8","","100","","","","","","0","","","","101.21","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-02 04:00","2022","08","02","04:00","","16.7","","16.7","","100","","","","10","","12","","","","101.21","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-02 05:00","2022","08","02","05:00","","16.7","","16.7","","100","","","","13","","7","","","","101.22","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-02 06:00","2022","08","02","06:00","","17.2","","17.2","","100","","","","9","","9","","","","101.23","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-02 07:00","2022","08","02","07:00","","17.6","","17.6","","100","","","","12","","6","","","","101.21","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-02 08:00","2022","08","02","08:00","","18.6","","18.6","","100","","","","13","","13","","","","101.17","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-02 09:00","2022","08","02","09:00","","19.4","","19.4","","100","","","","13","","16","","","","101.05","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-02 10:00","2022","08","02","10:00","","20.5","","20.0","","97","","","","13","","18","","","","101.04","","28","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-02 11:00","2022","08","02","11:00","","20.9","","20.8","","100","","","","12","","26","","","","100.97","","29","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-02 12:00","2022","08","02","12:00","","21.2","","20.5","","96","","","","13","","22","","","","100.89","","29","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-02 13:00","2022","08","02","13:00","","20.7","","20.7","","100","","","","13","","12","","","","100.84","","29","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-02 14:00","2022","08","02","14:00","","20.7","","20.7","","100","","","","12","","12","","","","100.78","","29","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-02 15:00","2022","08","02","15:00","","20.3","","20.2","","100","","","","11","","11","","","","100.72","","28","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-02 16:00","2022","08","02","16:00","","20.2","","20.2","","100","","","","10","","9","","","","100.66","","28","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-02 17:00","2022","08","02","17:00","","20.7","","20.7","","100","","","","10","","4","","","","100.64","","29","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-02 18:00","2022","08","02","18:00","","20.1","","20.1","","100","","","","","","0","","","","100.66","","28","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-02 19:00","2022","08","02","19:00","","20.5","","20.4","","100","","","","18","","7","","","","100.67","","28","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-02 20:00","2022","08","02","20:00","","20.2","","20.2","","100","","","","","","0","","","","100.70","","28","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-02 21:00","2022","08","02","21:00","","20.5","","20.5","","100","","","","20","","5","","","","100.85","","28","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-02 22:00","2022","08","02","22:00","","18.7","","18.7","","100","","","","21","","4","","","","100.88","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-02 23:00","2022","08","02","23:00","","18.4","","18.4","","100","","","","19","","5","","","","100.89","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-03 00:00","2022","08","03","00:00","","18.9","","18.9","","100","","","","","","0","","","","100.88","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-03 01:00","2022","08","03","01:00","","19.1","","19.1","","100","","","","28","","8","","","","100.90","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-03 02:00","2022","08","03","02:00","","18.8","","18.8","","100","","","","","","0","","","","100.95","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-03 03:00","2022","08","03","03:00","","18.3","","18.3","","100","","","","","","0","","","","101.00","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-03 04:00","2022","08","03","04:00","","18.1","","18.1","","100","","","","21","","7","","","","101.00","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-03 05:00","2022","08","03","05:00","","18.0","","18.0","","100","","","","16","","3","","","","101.05","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-03 06:00","2022","08","03","06:00","","18.2","","18.2","","100","","","","","","0","","","","101.11","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-03 07:00","2022","08","03","07:00","","18.0","","18.0","","100","","","","15","","4","","","","101.19","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-03 08:00","2022","08","03","08:00","","18.3","","18.3","","100","","","","14","","7","","","","101.21","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-03 09:00","2022","08","03","09:00","","18.9","","18.9","","100","","","","11","","5","","","","101.21","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-03 10:00","2022","08","03","10:00","","20.5","","20.0","","97","","","","11","","3","","","","101.23","","28","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-03 11:00","2022","08","03","11:00","","22.0","","19.7","","87","","","","14","","3","","","","101.26","","29","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-03 12:00","2022","08","03","12:00","","22.4","","20.6","","90","","","","12","","9","","","","101.24","","30","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-03 13:00","2022","08","03","13:00","","24.3","","20.0","","77","","","","14","","11","","","","101.24","","32","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-03 14:00","2022","08","03","14:00","","23.0","","20.5","","86","","","","12","","20","","","","101.29","","31","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-03 15:00","2022","08","03","15:00","","23.1","","19.9","","82","","","","13","","15","","","","101.31","","31","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-03 16:00","2022","08","03","16:00","","24.0","","19.4","","75","","","","19","","13","","","","101.38","","31","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-03 17:00","2022","08","03","17:00","","24.8","","19.2","","71","","","","14","","4","","","","101.40","","32","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-03 18:00","2022","08","03","18:00","","24.3","","19.5","","75","","","","21","","5","","","","101.40","","31","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-03 19:00","2022","08","03","19:00","","23.0","","19.0","","79","","","","20","","9","","","","101.43","","30","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-03 20:00","2022","08","03","20:00","","22.2","","18.8","","81","","","","22","","3","","","","101.45","","29","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-03 21:00","2022","08","03","21:00","","21.0","","18.5","","86","","","","22","","8","","","","101.52","","27","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-03 22:00","2022","08","03","22:00","","19.7","","19.1","","96","","","","","","0","","","","101.57","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-03 23:00","2022","08","03","23:00","","18.8","","18.8","","100","","","","10","","3","","","","101.60","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-04 00:00","2022","08","04","00:00","","17.9","","17.9","","100","","","","9","","6","","","","101.62","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-04 01:00","2022","08","04","01:00","","17.5","","17.5","","100","","","","","","0","","","","101.68","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-04 02:00","2022","08","04","02:00","","17.1","","17.1","","100","","","","","","0","","","","101.70","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-04 03:00","2022","08","04","03:00","","16.6","","16.6","","100","","","","","","0","","","","101.76","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-04 04:00","2022","08","04","04:00","","16.6","","16.6","","100","","","","10","","3","","","","101.75","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-04 05:00","2022","08","04","05:00","","16.2","","16.2","","100","","","","","","0","","","","101.81","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-04 06:00","2022","08","04","06:00","","17.7","","17.7","","100","","","","","","0","","","","101.84","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-04 07:00","2022","08","04","07:00","","19.0","","15.9","","82","","","","","","0","","","","101.85","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-04 08:00","2022","08","04","08:00","","19.5","","16.5","","83","","","","","","0","","","","101.87","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-04 09:00","2022","08","04","09:00","","22.6","","15.5","","64","","","","","","0","","","","101.84","","27","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-04 10:00","2022","08","04","10:00","","22.6","","17.8","","75","","","","14","","5","","","","101.85","","28","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-04 11:00","2022","08","04","11:00","","24.2","","16.4","","62","","","","20","","15","","","","101.84","","29","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-04 12:00","2022","08","04","12:00","","25.1","","15.9","","56","","","","21","","17","","","","101.78","","30","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-04 13:00","2022","08","04","13:00","","24.3","","17.0","","64","","","","20","","13","","","","101.78","","30","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-04 14:00","2022","08","04","14:00","","24.3","","18.0","","68","","","","22","","22","","","","101.81","","30","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-04 15:00","2022","08","04","15:00","","24.1","","18.8","","72","","","","19","","19","","","","101.78","","31","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-04 16:00","2022","08","04","16:00","","23.4","","18.3","","73","","","","19","","20","","","","101.80","","30","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-04 17:00","2022","08","04","17:00","","23.2","","18.3","","74","","","","16","","10","","","","101.80","","29","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-04 18:00","2022","08","04","18:00","","24.5","","18.7","","70","","","","30","","3","","","","101.77","","31","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-04 19:00","2022","08","04","19:00","","21.9","","18.3","","80","","","","18","","13","","","","101.79","","28","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-04 20:00","2022","08","04","20:00","","20.9","","18.3","","85","","","","22","","16","","","","101.83","","27","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-04 21:00","2022","08","04","21:00","","19.6","","19.4","","99","","","","24","","14","","","","101.86","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-08-04 22:00","2022","08","04","22:00","","19.1","","19.1","","100","","","","22","","11","","","","101.85","","","","","","NA"
