"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-09-01 00:00","2022","09","01","00:00","","20.7","","20.7","","100","","","","18","","9","","","","100.61","","29","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-09-01 01:00","2022","09","01","01:00","","20.7","","20.7","","100","","","","20","","11","","","","100.62","","29","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-09-01 02:00","2022","09","01","02:00","","20.6","","20.6","","100","","","","25","","7","","","","100.62","","29","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-09-01 03:00","2022","09","01","03:00","","20.5","","20.5","","100","","","","22","","9","","","","100.63","","28","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-09-01 04:00","2022","09","01","04:00","","19.9","","19.9","","100","","","","24","","8","","","","100.62","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-09-01 05:00","2022","09","01","05:00","","19.4","","19.4","","100","","","","23","","5","","","","100.70","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-09-01 06:00","2022","09","01","06:00","","19.3","","18.2","","94","","","","27","","16","","","","100.80","","","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-09-01 07:00","2022","09","01","07:00","","20.8","","17.9","","84","","","","30","","8","","","","100.88","","27","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-09-01 08:00","2022","09","01","08:00","","21.4","","17.4","","78","","","","29","","10","","","","100.89","","27","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-09-01 09:00","2022","09","01","09:00","","23.0","","17.0","","69","","","","","","0","","","","100.91","","28","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-09-01 10:00","2022","09","01","10:00","","23.6","","14.1","","55","","","","28","","15","","","","100.92","","27","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-09-01 11:00","2022","09","01","11:00","","24.1","","14.7","","56","","","","27","","8","","","","100.88","","28","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-09-01 12:00","2022","09","01","12:00","","24.9","","14.3","","52","","","","28","","10","","","","100.89","","28","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-09-01 13:00","2022","09","01","13:00","","25.8","","14.3","","49","","","","26","","10","","","","100.90","","29","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-09-01 14:00","2022","09","01","14:00","","25.5","","12.4","","44","","","","23","","12","","","","100.91","","28","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-09-01 15:00","2022","09","01","15:00","","25.2","","14.0","","50","","","","21","","18","","","","100.94","","29","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-09-01 16:00","2022","09","01","16:00","","24.1","","14.6","","55","","","","20","","25","","","","100.99","","28","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-09-01 17:00","2022","09","01","17:00","","23.5","","15.0","","59","","","","22","","23","","","","100.99","","27","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-09-01 18:00","2022","09","01","18:00","","22.8","","15.3","","63","","","","22","","26","","","","101.00","","27","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-09-01 19:00","2022","09","01","19:00","","21.7","","15.5","","68","","","","22","","19","","","","101.01","","26","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-09-01 20:00","2022","09","01","20:00","","21.5","","15.1","","67","","","","22","","17","","","","101.05","","26","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-09-01 21:00","2022","09","01","21:00","","20.4","","16.9","","80","","","","22","","20","","","","101.10","","26","","","","NA"
"-63.63","44.71","BEDFORD BASIN","8200573","2022-09-01 22:00","2022","09","01","22:00","","19.7","","18.1","","90","","","","23","","15","","","","101.11","","","","","","NA"
